seed,step,test_pt,dataset,muh_fun,method,coverage,width,muh_test,y_test
0,0,0,blue_protein,NN,split,True,1.2892825592884969,1.0236531118509662,1.4704265908880179
0,0,0,blue_protein,NN,wsplit_1,True,inf,1.0236531118509662,1.4704265908880179
0,0,0,blue_protein,NN,wsplit_2,True,inf,1.0236531118509662,1.4704265908880179
0,0,0,blue_protein,NN,wsplit_3,True,inf,1.0236531118509662,1.4704265908880179
0,0,0,blue_protein,NN,wsplit_4,True,inf,1.0236531118509662,1.4704265908880179
0,1,0,blue_protein,NN,split,True,1.0439345795046946,0.6419480966314428,0.2973207269566926
0,1,0,blue_protein,NN,wsplit_1,True,0.9105363413954235,0.6419480966314428,0.2973207269566926
0,1,0,blue_protein,NN,wsplit_2,True,0.9105363413954235,0.6419480966314428,0.2973207269566926
0,1,0,blue_protein,NN,wsplit_3,True,0.9105363413954235,0.6419480966314428,0.2973207269566926
0,1,0,blue_protein,NN,wsplit_4,True,0.9105363413954235,0.6419480966314428,0.2973207269566926
0,2,0,blue_protein,NN,split,True,1.0841239182805325,0.5552569463798893,0.3078834265012986
0,2,0,blue_protein,NN,wsplit_1,True,1.0841239182805325,0.5552569463798893,0.3078834265012986
0,2,0,blue_protein,NN,wsplit_2,True,1.0841239182805325,0.5552569463798893,0.3078834265012986
0,2,0,blue_protein,NN,wsplit_3,True,1.0841239182805325,0.5552569463798893,0.3078834265012986
0,2,0,blue_protein,NN,wsplit_4,True,1.0841239182805325,0.5552569463798893,0.3078834265012986
0,3,0,blue_protein,NN,split,True,1.2868181421427867,0.9707796100428321,1.2774536168152388
0,3,0,blue_protein,NN,wsplit_1,True,inf,0.9707796100428321,1.2774536168152388
0,3,0,blue_protein,NN,wsplit_2,True,1.6579302508467155,0.9707796100428321,1.2774536168152388
0,3,0,blue_protein,NN,wsplit_3,True,1.6579302508467155,0.9707796100428321,1.2774536168152388
0,3,0,blue_protein,NN,wsplit_4,True,1.6579302508467155,0.9707796100428321,1.2774536168152388
0,4,0,blue_protein,NN,split,True,1.2482946390212866,0.26669444707195133,0.2700156474101188
0,4,0,blue_protein,NN,wsplit_1,True,1.632576876033641,0.26669444707195133,0.2700156474101188
0,4,0,blue_protein,NN,wsplit_2,True,1.0106803386187635,0.26669444707195133,0.2700156474101188
0,4,0,blue_protein,NN,wsplit_3,True,1.0106803386187635,0.26669444707195133,0.2700156474101188
0,4,0,blue_protein,NN,wsplit_4,True,1.0106803386187635,0.26669444707195133,0.2700156474101188
0,5,0,blue_protein,NN,split,True,1.0510419593709541,0.18223932197162074,0.2511620548477529
0,5,0,blue_protein,NN,wsplit_1,True,1.9533595790726743,0.18223932197162074,0.2511620548477529
0,5,0,blue_protein,NN,wsplit_2,True,1.0458553722986028,0.18223932197162074,0.2511620548477529
0,5,0,blue_protein,NN,wsplit_3,True,1.0458553722986028,0.18223932197162074,0.2511620548477529
0,5,0,blue_protein,NN,wsplit_4,True,1.0458553722986028,0.18223932197162074,0.2511620548477529
0,6,0,blue_protein,NN,split,True,1.1505690400146764,0.8402893471002341,0.2793462052026814
0,6,0,blue_protein,NN,wsplit_1,True,1.381962073337725,0.8402893471002341,0.2793462052026814
0,6,0,blue_protein,NN,wsplit_2,True,1.381962073337725,0.8402893471002341,0.2793462052026814
0,6,0,blue_protein,NN,wsplit_3,True,1.381962073337725,0.8402893471002341,0.2793462052026814
0,6,0,blue_protein,NN,wsplit_4,True,1.381962073337725,0.8402893471002341,0.2793462052026814
0,7,0,blue_protein,NN,split,True,1.1236930804944507,0.1440283490591438,0.3642757653203248
0,7,0,blue_protein,NN,wsplit_1,True,1.726715081530779,0.1440283490591438,0.3642757653203248
0,7,0,blue_protein,NN,wsplit_2,True,1.104179053265772,0.1440283490591438,0.3642757653203248
0,7,0,blue_protein,NN,wsplit_3,True,1.104179053265772,0.1440283490591438,0.3642757653203248
0,7,0,blue_protein,NN,wsplit_4,True,1.104179053265772,0.1440283490591438,0.3642757653203248
0,8,0,blue_protein,NN,split,True,1.3858076228051537,0.363849434183876,0.29111060671603173
0,8,0,blue_protein,NN,wsplit_1,True,1.7703165808594918,0.363849434183876,0.29111060671603173
0,8,0,blue_protein,NN,wsplit_2,True,1.3858076228051537,0.363849434183876,0.29111060671603173
0,8,0,blue_protein,NN,wsplit_3,True,1.3858076228051537,0.363849434183876,0.29111060671603173
0,8,0,blue_protein,NN,wsplit_4,True,1.3858076228051537,0.363849434183876,0.29111060671603173
0,9,0,blue_protein,NN,split,False,1.0089696644966852,1.1064788294201324,1.4635277192865839
0,9,0,blue_protein,NN,wsplit_1,True,inf,1.1064788294201324,1.4635277192865839
0,9,0,blue_protein,NN,wsplit_2,True,1.4392125249583034,1.1064788294201324,1.4635277192865839
0,9,0,blue_protein,NN,wsplit_3,True,1.4392125249583034,1.1064788294201324,1.4635277192865839
0,9,0,blue_protein,NN,wsplit_4,True,1.4392125249583034,1.1064788294201324,1.4635277192865839
0,10,0,blue_protein,NN,split,True,1.3181927570934233,1.505190670149217,1.372431114474482
0,10,0,blue_protein,NN,wsplit_1,True,inf,1.505190670149217,1.372431114474482
0,10,0,blue_protein,NN,wsplit_2,True,inf,1.505190670149217,1.372431114474482
0,10,0,blue_protein,NN,wsplit_3,True,inf,1.505190670149217,1.372431114474482
0,10,0,blue_protein,NN,wsplit_4,True,inf,1.505190670149217,1.372431114474482
0,11,0,blue_protein,NN,split,False,1.115719507861189,0.9961405735969313,0.3262243548656221
0,11,0,blue_protein,NN,wsplit_1,False,1.115719507861189,0.9961405735969313,0.3262243548656221
0,11,0,blue_protein,NN,wsplit_2,False,1.0748712006899388,0.9961405735969313,0.3262243548656221
0,11,0,blue_protein,NN,wsplit_3,False,1.115719507861189,0.9961405735969313,0.3262243548656221
0,11,0,blue_protein,NN,wsplit_4,True,1.3319475794931401,0.9961405735969313,0.3262243548656221
0,12,0,blue_protein,NN,split,True,1.0388652177874467,1.373719138045762,1.3466023297556544
0,12,0,blue_protein,NN,wsplit_1,True,inf,1.373719138045762,1.3466023297556544
0,12,0,blue_protein,NN,wsplit_2,True,inf,1.373719138045762,1.3466023297556544
0,12,0,blue_protein,NN,wsplit_3,True,inf,1.373719138045762,1.3466023297556544
0,12,0,blue_protein,NN,wsplit_4,True,inf,1.373719138045762,1.3466023297556544
0,13,0,blue_protein,NN,split,True,1.4488309643206114,1.2676281657158281,0.7846959026447281
0,13,0,blue_protein,NN,wsplit_1,True,inf,1.2676281657158281,0.7846959026447281
0,13,0,blue_protein,NN,wsplit_2,True,1.5625053725312,1.2676281657158281,0.7846959026447281
0,13,0,blue_protein,NN,wsplit_3,True,1.5625053725312,1.2676281657158281,0.7846959026447281
0,13,0,blue_protein,NN,wsplit_4,True,1.5625053725312,1.2676281657158281,0.7846959026447281
0,14,0,blue_protein,NN,split,True,1.2132770293140744,0.691106373267253,0.8004896205992672
0,14,0,blue_protein,NN,wsplit_1,True,1.1332500351718187,0.691106373267253,0.8004896205992672
0,14,0,blue_protein,NN,wsplit_2,True,0.5997437679457852,0.691106373267253,0.8004896205992672
0,14,0,blue_protein,NN,wsplit_3,True,0.9570756409129421,0.691106373267253,0.8004896205992672
0,14,0,blue_protein,NN,wsplit_4,True,1.2132770293140744,0.691106373267253,0.8004896205992672
0,15,0,blue_protein,NN,split,True,1.3107707103639323,0.40399976257547243,0.08742669742890057
0,15,0,blue_protein,NN,wsplit_1,False,1.0521928297922867,0.40399976257547243,0.08742669742890057
0,15,0,blue_protein,NN,wsplit_2,False,0.9328436569941511,0.40399976257547243,0.08742669742890057
0,15,0,blue_protein,NN,wsplit_3,True,1.131734660821928,0.40399976257547243,0.08742669742890057
0,15,0,blue_protein,NN,wsplit_4,True,1.3107707103639323,0.40399976257547243,0.08742669742890057
1,0,0,blue_protein,NN,split,True,1.3647807209963765,1.3000879266026215,1.5161092486462504
1,0,0,blue_protein,NN,wsplit_1,True,inf,1.3000879266026215,1.5161092486462504
1,0,0,blue_protein,NN,wsplit_2,True,inf,1.3000879266026215,1.5161092486462504
1,0,0,blue_protein,NN,wsplit_3,True,inf,1.3000879266026215,1.5161092486462504
1,0,0,blue_protein,NN,wsplit_4,True,inf,1.3000879266026215,1.5161092486462504
1,1,0,blue_protein,NN,split,True,1.263038147268679,0.8035372195155429,0.25204750323184216
1,1,0,blue_protein,NN,wsplit_1,True,1.097025841227067,0.8035372195155429,0.25204750323184216
1,1,0,blue_protein,NN,wsplit_2,True,1.5295192500090327,0.8035372195155429,0.25204750323184216
1,1,0,blue_protein,NN,wsplit_3,True,1.5295192500090327,0.8035372195155429,0.25204750323184216
1,1,0,blue_protein,NN,wsplit_4,True,1.5295192500090327,0.8035372195155429,0.25204750323184216
1,2,0,blue_protein,NN,split,True,1.542737583875637,1.175723226122301,1.6705192102323967
1,2,0,blue_protein,NN,wsplit_1,True,inf,1.175723226122301,1.6705192102323967
1,2,0,blue_protein,NN,wsplit_2,True,inf,1.175723226122301,1.6705192102323967
1,2,0,blue_protein,NN,wsplit_3,True,inf,1.175723226122301,1.6705192102323967
1,2,0,blue_protein,NN,wsplit_4,True,inf,1.175723226122301,1.6705192102323967
1,3,0,blue_protein,NN,split,True,1.194662587663664,1.298041491587078,1.4252136480685074
1,3,0,blue_protein,NN,wsplit_1,True,1.1531816818609975,1.298041491587078,1.4252136480685074
1,3,0,blue_protein,NN,wsplit_2,True,inf,1.298041491587078,1.4252136480685074
1,3,0,blue_protein,NN,wsplit_3,True,inf,1.298041491587078,1.4252136480685074
1,3,0,blue_protein,NN,wsplit_4,True,inf,1.298041491587078,1.4252136480685074
1,4,0,blue_protein,NN,split,True,1.0284058447386029,0.6776676205538811,0.7296038682414804
1,4,0,blue_protein,NN,wsplit_1,True,0.8965993124064753,0.6776676205538811,0.7296038682414804
1,4,0,blue_protein,NN,wsplit_2,True,0.9203521492491478,0.6776676205538811,0.7296038682414804
1,4,0,blue_protein,NN,wsplit_3,True,1.0284058447386029,0.6776676205538811,0.7296038682414804
1,4,0,blue_protein,NN,wsplit_4,True,1.0284058447386029,0.6776676205538811,0.7296038682414804
1,5,0,blue_protein,NN,split,True,1.5147560741537776,1.4629540990684562,1.4117793871967483
1,5,0,blue_protein,NN,wsplit_1,True,inf,1.4629540990684562,1.4117793871967483
1,5,0,blue_protein,NN,wsplit_2,True,inf,1.4629540990684562,1.4117793871967483
1,5,0,blue_protein,NN,wsplit_3,True,inf,1.4629540990684562,1.4117793871967483
1,5,0,blue_protein,NN,wsplit_4,True,1.6136111254860814,1.4629540990684562,1.4117793871967483
1,6,0,blue_protein,NN,split,True,1.3275882398084318,0.8945365386796789,1.5199940742831195
1,6,0,blue_protein,NN,wsplit_1,False,0.8043098508391728,0.8945365386796789,1.5199940742831195
1,6,0,blue_protein,NN,wsplit_2,True,1.3275882398084318,0.8945365386796789,1.5199940742831195
1,6,0,blue_protein,NN,wsplit_3,True,1.3275882398084318,0.8945365386796789,1.5199940742831195
1,6,0,blue_protein,NN,wsplit_4,True,1.5428209398863597,0.8945365386796789,1.5199940742831195
1,7,0,blue_protein,NN,split,True,1.3535266337366187,1.3053513563090438,1.393010825778529
1,7,0,blue_protein,NN,wsplit_1,True,inf,1.3053513563090438,1.393010825778529
1,7,0,blue_protein,NN,wsplit_2,True,inf,1.3053513563090438,1.393010825778529
1,7,0,blue_protein,NN,wsplit_3,True,inf,1.3053513563090438,1.393010825778529
1,7,0,blue_protein,NN,wsplit_4,True,inf,1.3053513563090438,1.393010825778529
1,8,0,blue_protein,NN,split,True,1.3219422517016413,1.6028277934179282,1.356739393731996
1,8,0,blue_protein,NN,wsplit_1,True,inf,1.6028277934179282,1.356739393731996
1,8,0,blue_protein,NN,wsplit_2,True,inf,1.6028277934179282,1.356739393731996
1,8,0,blue_protein,NN,wsplit_3,True,inf,1.6028277934179282,1.356739393731996
1,8,0,blue_protein,NN,wsplit_4,True,inf,1.6028277934179282,1.356739393731996
1,9,0,blue_protein,NN,split,True,1.141320371990306,1.3870728495478635,1.5028154019503672
1,9,0,blue_protein,NN,wsplit_1,True,0.4799112109162742,1.3870728495478635,1.5028154019503672
1,9,0,blue_protein,NN,wsplit_2,True,inf,1.3870728495478635,1.5028154019503672
1,9,0,blue_protein,NN,wsplit_3,True,inf,1.3870728495478635,1.5028154019503672
1,9,0,blue_protein,NN,wsplit_4,True,inf,1.3870728495478635,1.5028154019503672
1,10,0,blue_protein,NN,split,True,1.0644317305306692,1.6660297602381964,1.4819925382623407
1,10,0,blue_protein,NN,wsplit_1,True,inf,1.6660297602381964,1.4819925382623407
1,10,0,blue_protein,NN,wsplit_2,True,1.488612668956762,1.6660297602381964,1.4819925382623407
1,10,0,blue_protein,NN,wsplit_3,True,1.47544617569284,1.6660297602381964,1.4819925382623407
1,10,0,blue_protein,NN,wsplit_4,True,1.1016848347259232,1.6660297602381964,1.4819925382623407
1,11,0,blue_protein,NN,split,True,1.2016460696722384,1.2271575450371062,1.3489902194265313
1,11,0,blue_protein,NN,wsplit_1,True,0.840450126863002,1.2271575450371062,1.3489902194265313
1,11,0,blue_protein,NN,wsplit_2,True,1.5086776578169434,1.2271575450371062,1.3489902194265313
1,11,0,blue_protein,NN,wsplit_3,True,1.5086776578169434,1.2271575450371062,1.3489902194265313
1,11,0,blue_protein,NN,wsplit_4,True,2.0394345578646336,1.2271575450371062,1.3489902194265313
1,12,0,blue_protein,NN,split,True,1.146271065885181,0.8572956214978802,1.3555494314529652
1,12,0,blue_protein,NN,wsplit_1,False,0.5201624986551544,0.8572956214978802,1.3555494314529652
1,12,0,blue_protein,NN,wsplit_2,True,1.0803403001956433,0.8572956214978802,1.3555494314529652
1,12,0,blue_protein,NN,wsplit_3,True,1.0803403001956433,0.8572956214978802,1.3555494314529652
1,12,0,blue_protein,NN,wsplit_4,True,1.0803403001956433,0.8572956214978802,1.3555494314529652
1,13,0,blue_protein,NN,split,True,1.3873916143634637,1.3216054929815586,1.3929854072592174
1,13,0,blue_protein,NN,wsplit_1,True,0.5180043915414849,1.3216054929815586,1.3929854072592174
1,13,0,blue_protein,NN,wsplit_2,True,inf,1.3216054929815586,1.3929854072592174
1,13,0,blue_protein,NN,wsplit_3,True,inf,1.3216054929815586,1.3929854072592174
1,13,0,blue_protein,NN,wsplit_4,True,inf,1.3216054929815586,1.3929854072592174
1,14,0,blue_protein,NN,split,True,1.0995724435078413,1.229903283989133,1.3759649695480352
1,14,0,blue_protein,NN,wsplit_1,True,0.5611970041346805,1.229903283989133,1.3759649695480352
1,14,0,blue_protein,NN,wsplit_2,True,inf,1.229903283989133,1.3759649695480352
1,14,0,blue_protein,NN,wsplit_3,True,inf,1.229903283989133,1.3759649695480352
1,14,0,blue_protein,NN,wsplit_4,True,inf,1.229903283989133,1.3759649695480352
1,15,0,blue_protein,NN,split,True,0.945369359599749,1.402286721131335,1.4101921411948033
1,15,0,blue_protein,NN,wsplit_1,True,0.6701943588922536,1.402286721131335,1.4101921411948033
1,15,0,blue_protein,NN,wsplit_2,True,0.7089737764813612,1.402286721131335,1.4101921411948033
1,15,0,blue_protein,NN,wsplit_3,True,0.7089737764813612,1.402286721131335,1.4101921411948033
1,15,0,blue_protein,NN,wsplit_4,True,0.737058481176411,1.402286721131335,1.4101921411948033
2,0,0,blue_protein,NN,split,False,1.0815952790225027,0.8519795457073561,0.09939097298833685
2,0,0,blue_protein,NN,wsplit_1,False,1.2631552673551196,0.8519795457073561,0.09939097298833685
2,0,0,blue_protein,NN,wsplit_2,False,1.2631552673551196,0.8519795457073561,0.09939097298833685
2,0,0,blue_protein,NN,wsplit_3,False,1.2631552673551196,0.8519795457073561,0.09939097298833685
2,0,0,blue_protein,NN,wsplit_4,False,1.2631552673551196,0.8519795457073561,0.09939097298833685
2,1,0,blue_protein,NN,split,True,1.121128197076398,0.3368379451263911,0.22914269113513783
2,1,0,blue_protein,NN,wsplit_1,True,1.1303596715614945,0.3368379451263911,0.22914269113513783
2,1,0,blue_protein,NN,wsplit_2,True,1.121128197076398,0.3368379451263911,0.22914269113513783
2,1,0,blue_protein,NN,wsplit_3,True,1.121128197076398,0.3368379451263911,0.22914269113513783
2,1,0,blue_protein,NN,wsplit_4,True,1.121128197076398,0.3368379451263911,0.22914269113513783
2,2,0,blue_protein,NN,split,True,1.2198663697419345,1.365900324543858,1.4026827804015727
2,2,0,blue_protein,NN,wsplit_1,True,inf,1.365900324543858,1.4026827804015727
2,2,0,blue_protein,NN,wsplit_2,True,inf,1.365900324543858,1.4026827804015727
2,2,0,blue_protein,NN,wsplit_3,True,inf,1.365900324543858,1.4026827804015727
2,2,0,blue_protein,NN,wsplit_4,True,inf,1.365900324543858,1.4026827804015727
2,3,0,blue_protein,NN,split,True,1.3265674188569108,1.4020959296958624,1.4082440962767255
2,3,0,blue_protein,NN,wsplit_1,True,inf,1.4020959296958624,1.4082440962767255
2,3,0,blue_protein,NN,wsplit_2,True,inf,1.4020959296958624,1.4082440962767255
2,3,0,blue_protein,NN,wsplit_3,True,inf,1.4020959296958624,1.4082440962767255
2,3,0,blue_protein,NN,wsplit_4,True,inf,1.4020959296958624,1.4082440962767255
2,4,0,blue_protein,NN,split,True,1.1385841467779287,0.9920692309525622,1.4363632118962264
2,4,0,blue_protein,NN,wsplit_1,True,1.1385841467779287,0.9920692309525622,1.4363632118962264
2,4,0,blue_protein,NN,wsplit_2,True,1.2177756987016548,0.9920692309525622,1.4363632118962264
2,4,0,blue_protein,NN,wsplit_3,True,1.4647313151368526,0.9920692309525622,1.4363632118962264
2,4,0,blue_protein,NN,wsplit_4,True,1.4647313151368526,0.9920692309525622,1.4363632118962264
2,5,0,blue_protein,NN,split,True,1.342722743398252,0.5110125667065444,0.5025721061670703
2,5,0,blue_protein,NN,wsplit_1,True,1.342722743398252,0.5110125667065444,0.5025721061670703
2,5,0,blue_protein,NN,wsplit_2,True,1.3901036800329765,0.5110125667065444,0.5025721061670703
2,5,0,blue_protein,NN,wsplit_3,True,1.3901036800329765,0.5110125667065444,0.5025721061670703
2,5,0,blue_protein,NN,wsplit_4,True,1.3901036800329765,0.5110125667065444,0.5025721061670703
2,6,0,blue_protein,NN,split,True,1.285300754755324,1.5617941069276422,1.3412974270167595
2,6,0,blue_protein,NN,wsplit_1,True,inf,1.5617941069276422,1.3412974270167595
2,6,0,blue_protein,NN,wsplit_2,True,inf,1.5617941069276422,1.3412974270167595
2,6,0,blue_protein,NN,wsplit_3,True,inf,1.5617941069276422,1.3412974270167595
2,6,0,blue_protein,NN,wsplit_4,True,inf,1.5617941069276422,1.3412974270167595
2,7,0,blue_protein,NN,split,True,1.3218766027710216,1.065178373767988,1.5199818041626425
2,7,0,blue_protein,NN,wsplit_1,True,1.3218766027710216,1.065178373767988,1.5199818041626425
2,7,0,blue_protein,NN,wsplit_2,True,0.9826921184214212,1.065178373767988,1.5199818041626425
2,7,0,blue_protein,NN,wsplit_3,True,1.3097628262278067,1.065178373767988,1.5199818041626425
2,7,0,blue_protein,NN,wsplit_4,True,1.3218766027710216,1.065178373767988,1.5199818041626425
2,8,0,blue_protein,NN,split,True,1.1709206036337267,0.7408529434795532,0.6868337188360485
2,8,0,blue_protein,NN,wsplit_1,True,0.6153906931443205,0.7408529434795532,0.6868337188360485
2,8,0,blue_protein,NN,wsplit_2,True,0.9076667068305415,0.7408529434795532,0.6868337188360485
2,8,0,blue_protein,NN,wsplit_3,True,1.1122227201075348,0.7408529434795532,0.6868337188360485
2,8,0,blue_protein,NN,wsplit_4,True,1.1122227201075348,0.7408529434795532,0.6868337188360485
2,9,0,blue_protein,NN,split,True,0.9903204456342187,0.41047231086906283,0.27795199509105223
2,9,0,blue_protein,NN,wsplit_1,True,0.6807848363514273,0.41047231086906283,0.27795199509105223
2,9,0,blue_protein,NN,wsplit_2,True,0.9704223637920173,0.41047231086906283,0.27795199509105223
2,9,0,blue_protein,NN,wsplit_3,True,0.9704223637920173,0.41047231086906283,0.27795199509105223
2,9,0,blue_protein,NN,wsplit_4,True,0.9903204456342187,0.41047231086906283,0.27795199509105223
2,10,0,blue_protein,NN,split,True,1.1595617574248978,0.9048588768953697,0.4323353768976701
2,10,0,blue_protein,NN,wsplit_1,True,0.9822602495999024,0.9048588768953697,0.4323353768976701
2,10,0,blue_protein,NN,wsplit_2,True,1.1544236493359752,0.9048588768953697,0.4323353768976701
2,10,0,blue_protein,NN,wsplit_3,True,1.1595617574248978,0.9048588768953697,0.4323353768976701
2,10,0,blue_protein,NN,wsplit_4,True,1.585721917481394,0.9048588768953697,0.4323353768976701
2,11,0,blue_protein,NN,split,False,0.9012831882321457,1.1579352025915257,0.466347294541053
2,11,0,blue_protein,NN,wsplit_1,False,1.0938627723542926,1.1579352025915257,0.466347294541053
2,11,0,blue_protein,NN,wsplit_2,False,0.9012831882321457,1.1579352025915257,0.466347294541053
2,11,0,blue_protein,NN,wsplit_3,False,1.0938627723542926,1.1579352025915257,0.466347294541053
2,11,0,blue_protein,NN,wsplit_4,True,1.440468301903366,1.1579352025915257,0.466347294541053
2,12,0,blue_protein,NN,split,True,1.2729215982546085,0.5642091930934102,0.2855490484279931
2,12,0,blue_protein,NN,wsplit_1,True,1.2729215982546085,0.5642091930934102,0.2855490484279931
2,12,0,blue_protein,NN,wsplit_2,True,1.6087685866666264,0.5642091930934102,0.2855490484279931
2,12,0,blue_protein,NN,wsplit_3,True,1.6087685866666264,0.5642091930934102,0.2855490484279931
2,12,0,blue_protein,NN,wsplit_4,True,1.6087685866666264,0.5642091930934102,0.2855490484279931
2,13,0,blue_protein,NN,split,True,1.0087576597732615,1.4017438861785654,1.359591029112102
2,13,0,blue_protein,NN,wsplit_1,True,inf,1.4017438861785654,1.359591029112102
2,13,0,blue_protein,NN,wsplit_2,True,inf,1.4017438861785654,1.359591029112102
2,13,0,blue_protein,NN,wsplit_3,True,inf,1.4017438861785654,1.359591029112102
2,13,0,blue_protein,NN,wsplit_4,True,inf,1.4017438861785654,1.359591029112102
2,14,0,blue_protein,NN,split,True,1.331167571268492,0.8224815721262407,0.21662542275879712
2,14,0,blue_protein,NN,wsplit_1,True,1.331167571268492,0.8224815721262407,0.21662542275879712
2,14,0,blue_protein,NN,wsplit_2,True,1.4699439573635744,0.8224815721262407,0.21662542275879712
2,14,0,blue_protein,NN,wsplit_3,True,1.4699439573635744,0.8224815721262407,0.21662542275879712
2,14,0,blue_protein,NN,wsplit_4,True,1.4699439573635744,0.8224815721262407,0.21662542275879712
2,15,0,blue_protein,NN,split,True,1.120478839927161,0.9088767854882902,1.1735433178061223
2,15,0,blue_protein,NN,wsplit_1,True,1.490954892040337,0.9088767854882902,1.1735433178061223
2,15,0,blue_protein,NN,wsplit_2,True,1.5534268260860427,0.9088767854882902,1.1735433178061223
2,15,0,blue_protein,NN,wsplit_3,True,1.5534268260860427,0.9088767854882902,1.1735433178061223
2,15,0,blue_protein,NN,wsplit_4,True,1.5534268260860427,0.9088767854882902,1.1735433178061223
3,0,0,blue_protein,NN,split,True,1.0101327766900885,0.7575100464625587,0.4479991427096026
3,0,0,blue_protein,NN,wsplit_1,True,1.4055216859083068,0.7575100464625587,0.4479991427096026
3,0,0,blue_protein,NN,wsplit_2,True,1.4055216859083068,0.7575100464625587,0.4479991427096026
3,0,0,blue_protein,NN,wsplit_3,True,1.4055216859083068,0.7575100464625587,0.4479991427096026
3,0,0,blue_protein,NN,wsplit_4,True,1.4055216859083068,0.7575100464625587,0.4479991427096026
3,1,0,blue_protein,NN,split,True,1.0425784674969305,0.5291805386174756,0.3119815706889212
3,1,0,blue_protein,NN,wsplit_1,True,1.0425784674969305,0.5291805386174756,0.3119815706889212
3,1,0,blue_protein,NN,wsplit_2,True,1.0425784674969305,0.5291805386174756,0.3119815706889212
3,1,0,blue_protein,NN,wsplit_3,True,1.0425784674969305,0.5291805386174756,0.3119815706889212
3,1,0,blue_protein,NN,wsplit_4,True,1.0425784674969305,0.5291805386174756,0.3119815706889212
3,2,0,blue_protein,NN,split,True,1.0377286614035357,0.7783671292835854,0.753054242710717
3,2,0,blue_protein,NN,wsplit_1,True,1.38918126923883,0.7783671292835854,0.753054242710717
3,2,0,blue_protein,NN,wsplit_2,True,1.38918126923883,0.7783671292835854,0.753054242710717
3,2,0,blue_protein,NN,wsplit_3,True,1.38918126923883,0.7783671292835854,0.753054242710717
3,2,0,blue_protein,NN,wsplit_4,True,1.38918126923883,0.7783671292835854,0.753054242710717
3,3,0,blue_protein,NN,split,True,0.9187789208123947,0.6849321393085237,0.27992178380984534
3,3,0,blue_protein,NN,wsplit_1,True,1.5159294973884159,0.6849321393085237,0.27992178380984534
3,3,0,blue_protein,NN,wsplit_2,True,1.5159294973884159,0.6849321393085237,0.27992178380984534
3,3,0,blue_protein,NN,wsplit_3,True,1.5159294973884159,0.6849321393085237,0.27992178380984534
3,3,0,blue_protein,NN,wsplit_4,True,1.5159294973884159,0.6849321393085237,0.27992178380984534
3,4,0,blue_protein,NN,split,False,0.9328645544065723,0.530978207338504,1.2817733777498201
3,4,0,blue_protein,NN,wsplit_1,False,1.204823475683191,0.530978207338504,1.2817733777498201
3,4,0,blue_protein,NN,wsplit_2,False,0.9328645544065723,0.530978207338504,1.2817733777498201
3,4,0,blue_protein,NN,wsplit_3,False,0.9328645544065723,0.530978207338504,1.2817733777498201
3,4,0,blue_protein,NN,wsplit_4,False,0.9328645544065723,0.530978207338504,1.2817733777498201
3,5,0,blue_protein,NN,split,True,0.9222666025743884,0.41195579524562703,0.29364023937662453
3,5,0,blue_protein,NN,wsplit_1,True,0.8442261845173675,0.41195579524562703,0.29364023937662453
3,5,0,blue_protein,NN,wsplit_2,True,0.9222666025743884,0.41195579524562703,0.29364023937662453
3,5,0,blue_protein,NN,wsplit_3,True,0.9222666025743884,0.41195579524562703,0.29364023937662453
3,5,0,blue_protein,NN,wsplit_4,True,0.9222666025743884,0.41195579524562703,0.29364023937662453
3,6,0,blue_protein,NN,split,True,1.00799462258856,0.3797068148600197,0.2922766432477058
3,6,0,blue_protein,NN,wsplit_1,True,1.1013915004455113,0.3797068148600197,0.2922766432477058
3,6,0,blue_protein,NN,wsplit_2,True,1.1013915004455113,0.3797068148600197,0.2922766432477058
3,6,0,blue_protein,NN,wsplit_3,True,1.1013915004455113,0.3797068148600197,0.2922766432477058
3,6,0,blue_protein,NN,wsplit_4,True,1.1013915004455113,0.3797068148600197,0.2922766432477058
3,7,0,blue_protein,NN,split,True,1.0501280389444123,0.7093246812756886,0.14345296022893655
3,7,0,blue_protein,NN,wsplit_1,True,inf,0.7093246812756886,0.14345296022893655
3,7,0,blue_protein,NN,wsplit_2,True,1.0501280389444123,0.7093246812756886,0.14345296022893655
3,7,0,blue_protein,NN,wsplit_3,True,1.0501280389444123,0.7093246812756886,0.14345296022893655
3,7,0,blue_protein,NN,wsplit_4,True,1.0501280389444123,0.7093246812756886,0.14345296022893655
3,8,0,blue_protein,NN,split,True,0.8294764093591731,0.38815572267624254,0.3062394536871968
3,8,0,blue_protein,NN,wsplit_1,True,0.745261730594172,0.38815572267624254,0.3062394536871968
3,8,0,blue_protein,NN,wsplit_2,True,0.8947816972529556,0.38815572267624254,0.3062394536871968
3,8,0,blue_protein,NN,wsplit_3,True,0.8947816972529556,0.38815572267624254,0.3062394536871968
3,8,0,blue_protein,NN,wsplit_4,True,0.8947816972529556,0.38815572267624254,0.3062394536871968
3,9,0,blue_protein,NN,split,False,0.8642427410947919,0.7423858888311375,1.2785102439603666
3,9,0,blue_protein,NN,wsplit_1,True,inf,0.7423858888311375,1.2785102439603666
3,9,0,blue_protein,NN,wsplit_2,True,1.077537377789537,0.7423858888311375,1.2785102439603666
3,9,0,blue_protein,NN,wsplit_3,True,1.077537377789537,0.7423858888311375,1.2785102439603666
